timestamp,fish_id,x_coordinate,y_coordinate
1755831519.0292022,6,412,370
1755831519.0292022,5,368,486
1755831519.0292022,4,258,514
1755831519.0292022,3,342,361
1755831519.0292022,2,268,442
1755831519.0292022,1,522,385
1755831519.0823045,18,323,236
1755831519.0823045,17,386,397
1755831519.0823045,13,330,162
1755831519.0823045,11,326,197
1755831519.0823045,10,646,577
1755831519.0823045,9,383,197
1755831519.0823045,8,674,537
1755831519.0823045,7,335,297
1755831519.0823045,6,414,373
1755831519.0823045,5,368,486
1755831519.0823045,4,258,514
1755831519.0823045,3,342,360
1755831519.0823045,2,268,444
1755831519.0823045,1,523,385
1755831519.1344101,18,323,232
1755831519.1344101,17,386,400
1755831519.1344101,11,325,197
1755831519.1344101,10,647,577
1755831519.1344101,9,383,198
1755831519.1344101,8,674,537
1755831519.1344101,7,332,299
1755831519.1344101,6,418,378
1755831519.1344101,5,367,487
1755831519.1344101,4,258,515
1755831519.1344101,3,342,358
1755831519.1344101,2,268,446
1755831519.1344101,1,524,386
1755831519.186207,18,323,231
1755831519.186207,17,389,402
1755831519.186207,11,325,196
1755831519.186207,10,646,576
1755831519.186207,9,383,198
1755831519.186207,8,674,537
1755831519.186207,7,330,302
1755831519.186207,6,422,382
1755831519.186207,5,367,487
1755831519.186207,4,259,515
1755831519.186207,3,342,356
1755831519.186207,2,268,447
1755831519.186207,1,525,387
1755831519.2380621,18,324,230
1755831519.2380621,17,391,405
1755831519.2380621,11,324,196
1755831519.2380621,10,646,576
1755831519.2380621,9,383,198
1755831519.2380621,8,674,537
1755831519.2380621,7,329,304
1755831519.2380621,6,424,387
1755831519.2380621,5,366,487
1755831519.2380621,4,258,515
1755831519.2380621,3,342,354
1755831519.2380621,2,269,449
1755831519.2380621,1,527,388
1755831519.289153,18,324,229
1755831519.289153,17,393,409
1755831519.289153,11,324,195
1755831519.289153,10,646,576
1755831519.289153,9,383,198
1755831519.289153,8,675,537
1755831519.289153,7,329,304
1755831519.289153,6,426,390
1755831519.289153,5,366,486
1755831519.289153,4,258,516
1755831519.289153,3,343,352
1755831519.289153,2,269,451
1755831519.289153,1,529,388
1755831519.340632,18,324,229
1755831519.340632,17,392,410
1755831519.340632,11,324,193
1755831519.340632,10,645,576
1755831519.340632,9,384,198
1755831519.340632,8,675,536
1755831519.340632,7,328,304
1755831519.340632,6,429,394
1755831519.340632,5,366,487
1755831519.340632,4,259,516
1755831519.340632,3,342,351
1755831519.340632,2,269,453
1755831519.340632,1,532,389
1755831519.3928306,18,325,229
1755831519.3928306,17,395,412
1755831519.3928306,13,328,162
1755831519.3928306,11,325,190
1755831519.3928306,10,645,576
1755831519.3928306,9,384,197
1755831519.3928306,8,676,536
1755831519.3928306,7,327,304
1755831519.3928306,6,431,397
1755831519.3928306,5,366,487
1755831519.3928306,3,342,349
1755831519.3928306,2,269,455
1755831519.3928306,1,534,390
1755831519.4473119,18,325,227
1755831519.4473119,17,398,417
1755831519.4473119,13,329,162
1755831519.4473119,11,325,189
1755831519.4473119,10,645,576
1755831519.4473119,9,384,197
1755831519.4473119,8,676,536
1755831519.4473119,7,327,306
1755831519.4473119,6,433,400
1755831519.4473119,5,366,487
1755831519.4473119,3,341,348
1755831519.4473119,2,269,458
1755831519.4473119,1,536,391
1755831519.5002458,21,323,273
1755831519.5002458,18,326,229
1755831519.5002458,17,399,420
1755831519.5002458,13,331,163
1755831519.5002458,11,325,188
1755831519.5002458,10,646,577
1755831519.5002458,9,384,197
1755831519.5002458,8,675,536
1755831519.5002458,7,328,307
1755831519.5002458,6,435,402
1755831519.5002458,5,365,487
1755831519.5002458,3,342,347
1755831519.5002458,2,269,460
1755831519.5002458,1,537,391
1755831519.55478,21,322,272
1755831519.55478,18,326,229
1755831519.55478,17,401,424
1755831519.55478,13,329,164
1755831519.55478,11,326,186
1755831519.55478,10,646,578
1755831519.55478,9,384,197
1755831519.55478,8,675,536
1755831519.55478,7,329,308
1755831519.55478,6,437,405
1755831519.55478,5,365,488
1755831519.55478,3,342,346
